GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1580000US0644000037117520,0644000037117520,"Census Tract 1175.20, Los Angeles County (part), Los Angeles city, California",4052
1580000US0644000037117530,0644000037117530,"Census Tract 1175.30, Los Angeles County (part), Los Angeles city, California",5641
1580000US0644000037119001,0644000037119001,"Census Tract 1190.01, Los Angeles County (part), Los Angeles city, California",4038
1580000US0644000037119002,0644000037119002,"Census Tract 1190.02, Los Angeles County (part), Los Angeles city, California",7210
1580000US0644000037119201,0644000037119201,"Census Tract 1192.01, Los Angeles County (part), Los Angeles city, California",4137
1580000US0644000037119202,0644000037119202,"Census Tract 1192.02, Los Angeles County (part), Los Angeles city, California",4707
1580000US0644000037119310,0644000037119310,"Census Tract 1193.10, Los Angeles County (part), Los Angeles city, California",3871
1580000US0644000037119320,0644000037119320,"Census Tract 1193.20, Los Angeles County (part), Los Angeles city, California",4694
1580000US0644000037119340,0644000037119340,"Census Tract 1193.40, Los Angeles County (part), Los Angeles city, California",3884
1580000US0644000037119341,0644000037119341,"Census Tract 1193.41, Los Angeles County (part), Los Angeles city, California",2719
1580000US0644000037119342,0644000037119342,"Census Tract 1193.42, Los Angeles County (part), Los Angeles city, California",3180
1580000US0644000037119400,0644000037119400,"Census Tract 1194, Los Angeles County (part), Los Angeles city, California",4987
1580000US0644000037119700,0644000037119700,"Census Tract 1197, Los Angeles County (part), Los Angeles city, California",5045
1580000US0644000037119800,0644000037119800,"Census Tract 1198, Los Angeles County (part), Los Angeles city, California",6108
1580000US0644000037119900,0644000037119900,"Census Tract 1199, Los Angeles County (part), Los Angeles city, California",4940
1580000US0644000037120010,0644000037120010,"Census Tract 1200.10, Los Angeles County (part), Los Angeles city, California",2844
1580000US0644000037120020,0644000037120020,"Census Tract 1200.20, Los Angeles County (part), Los Angeles city, California",4057
1580000US0644000037120030,0644000037120030,"Census Tract 1200.30, Los Angeles County (part), Los Angeles city, California",2675
1580000US0644000037120103,0644000037120103,"Census Tract 1201.03, Los Angeles County (part), Los Angeles city, California",3287
1580000US0644000037120104,0644000037120104,"Census Tract 1201.04, Los Angeles County (part), Los Angeles city, California",2310
1580000US0644000037120105,0644000037120105,"Census Tract 1201.05, Los Angeles County (part), Los Angeles city, California",2812
1580000US0644000037120106,0644000037120106,"Census Tract 1201.06, Los Angeles County (part), Los Angeles city, California",4417
1580000US0644000037120107,0644000037120107,"Census Tract 1201.07, Los Angeles County (part), Los Angeles city, California",3818
1580000US0644000037120108,0644000037120108,"Census Tract 1201.08, Los Angeles County (part), Los Angeles city, California",4838
